S1A_IW_SLC__1SDV_20170527T100348_20170527T100415_016766_01BDB5_EC66.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('0c06c61d-4d7c-4eae-8990-ce728fdf733c')/$value,69,POLYGON ((117.390228 35.307938,120.168266 35.710514,120.493271 34.089596,117.771393 33.685158,117.390228 35.307938))
S1A_IW_SLC__1SDV_20170515T100348_20170515T100415_016591_01B853_15BC.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('bac15146-6db2-413f-ac8b-33b8519565b4')/$value,69,POLYGON ((117.388695 35.308338,120.166809 35.710941,120.491875 34.089783,117.769936 33.685318,117.388695 35.308338))
S1A_IW_SLC__1SDV_20170503T100347_20170503T100414_016416_01B302_D3A4.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('8ac3b019-ddbb-43f1-b937-8ab6daf1b507')/$value,69,POLYGON ((117.388161 35.308167,120.166389 35.710804,120.491516 34.089401,117.769463 33.684906,117.388161 35.308167))
S1A_IW_SLC__1SDV_20170421T100347_20170421T100414_016241_01ADB3_973C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('5b3d23b8-9afc-4da7-94ab-fdbb99e1fa6d')/$value,69,POLYGON ((117.388603 35.307541,120.166725 35.710167,120.491707 34.089504,117.769737 33.685017,117.388603 35.307541))
S1A_IW_SLC__1SDV_20170409T100346_20170409T100413_016066_01A858_B13A.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('d99625a1-33d1-4faa-83df-0f3d82c4bb8c')/$value,69,POLYGON ((117.388817 35.308178,120.166962 35.710773,120.491913 34.090107,117.769928 33.685654,117.388817 35.308178))
S1A_IW_SLC__1SDV_20170328T100345_20170328T100412_015891_01A318_F05F.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('29e55167-428f-445e-b973-f6bf5676f4ff')/$value,69,POLYGON ((117.388977 35.307915,120.167381 35.710533,120.492409 34.089386,117.770187 33.684910,117.388977 35.307915))
S1A_IW_SLC__1SDV_20170316T100345_20170316T100412_015716_019DDC_F3C6.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('2e58d182-63b3-48a4-acfa-cf078886ec3c')/$value,69,POLYGON ((117.388077 35.308380,120.166466 35.711040,120.491501 34.090149,117.769279 33.685631,117.388077 35.308380))
S1A_IW_SLC__1SDV_20170304T100348_20170304T100415_015541_01989F_84B6.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('7fc63cb5-3253-4ce0-99c8-4eb6da45defa')/$value,69,POLYGON ((117.349670 35.474724,120.133858 35.877201,120.459274 34.256134,117.731728 33.851822,117.349670 35.474724))
S1A_IW_SLC__1SDV_20170220T100348_20170220T100415_015366_019355_9FE3.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('89c76244-a35c-4a9d-b68f-99c62f7d1057')/$value,69,POLYGON ((117.349152 35.475067,120.133392 35.877544,120.458801 34.256477,117.731209 33.852173,117.349152 35.475067))
S1A_IW_SLC__1SDV_20170208T100348_20170208T100415_015191_018DE3_68CE.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('3654d478-8cde-46ad-966b-28df9bd87b15')/$value,69,POLYGON ((117.349800 35.474442,120.134056 35.876862,120.459442 34.255669,117.731834 33.851414,117.349800 35.474442))
S1A_IW_SLC__1SDV_20170127T100348_20170127T100415_015016_018875_BD50.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('3a1ed75f-88f1-404f-b043-c3f4caf34df0')/$value,69,POLYGON ((117.349571 35.474140,120.133858 35.876572,120.459251 34.255383,117.731613 33.851116,117.349571 35.474140))
S1A_IW_SLC__1SDV_20170115T100348_20170115T100415_014841_01830F_2429.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('92c50032-c03c-4a8f-a253-755f04536b8c')/$value,69,POLYGON ((117.349365 35.474178,120.133659 35.876633,120.459045 34.255566,117.731400 33.851284,117.349365 35.474178))
S1A_IW_SLC__1SDV_20170103T100349_20170103T100416_014666_017DB4_EA9E.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('549d83dc-5ecb-4f95-99c7-3a4c9a38afaf')/$value,69,POLYGON ((117.349022 35.474697,120.133286 35.877167,120.458725 34.255981,117.731110 33.851677,117.349022 35.474697))
S1A_IW_SLC__1SDV_20161222T100350_20161222T100417_014491_017854_0EAA.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('f2420e57-75a0-426e-8dab-afd33fa4db09')/$value,69,POLYGON ((117.349014 35.473644,120.133301 35.876137,120.458694 34.255199,117.731049 33.850876,117.349014 35.473644))
S1A_IW_SLC__1SDV_20161210T100351_20161210T100418_014316_0172E2_CDEE.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('92a07045-9546-4324-abe9-07ac48463f7f')/$value,69,POLYGON ((117.349258 35.474819,120.133575 35.877289,120.459076 34.255730,117.731422 33.851433,117.349258 35.474819))
S1A_IW_SLC__1SDV_20161128T100351_20161128T100418_014141_016D4F_7215.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('2e5eed51-b50f-47d2-92e7-0c71caeb3e25')/$value,69,POLYGON ((117.349869 35.474503,120.134178 35.876930,120.459595 34.255615,117.731941 33.851357,117.349869 35.474503))
S1A_IW_SLC__1SDV_20161116T100351_20161116T100418_013966_0167F6_14A2.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('59883c48-2c36-47c8-9ad5-1ee284249e56')/$value,69,POLYGON ((117.349770 35.474567,120.134018 35.876995,120.459366 34.256050,117.731766 33.851788,117.349770 35.474567))
S1A_IW_SLC__1SDV_20161104T100352_20161104T100419_013791_016281_C1D6.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('5d8b5dc0-4299-4689-b3bb-76304b05bf37')/$value,69,POLYGON ((117.349525 35.473381,120.133698 35.875828,120.459114 34.254631,117.731583 33.850353,117.349525 35.473381))
