S1A_IW_SLC__1SDV_20170515T100257_20170515T100325_016591_01B853_8A7E.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('f97f315d-8da6-4dbc-a3b5-da9905166e12')/$value,69,POLYGON ((118.085464 32.318642,120.763474 32.724857,121.095215 31.044930,118.467384 30.636337,118.085464 32.318642)),
S1A_IW_SLC__1SDV_20170503T100257_20170503T100325_016416_01B302_3A01.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('d4d26553-d78d-485e-970e-8fa307b9ca32')/$value,69,POLYGON ((118.085136 32.317619,120.763168 32.723858,121.094864 31.044184,118.467003 30.635569,118.085136 32.317619)),
S1A_IW_SLC__1SDV_20170421T100256_20170421T100324_016241_01ADB3_A321.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('62f29a83-70c9-41f4-a503-4842acc867ec')/$value,69,POLYGON ((118.085220 32.318592,120.763260 32.724831,121.094986 31.045031,118.467125 30.636414,118.085220 32.318592)),
S1A_IW_SLC__1SDV_20170409T100255_20170409T100323_016066_01A858_F483.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('a6770f51-0348-44bf-ba9d-0a0aa9dc08ee')/$value,69,POLYGON ((118.085526 32.318607,120.763504 32.724804,121.095200 31.045000,118.467400 30.636425,118.085526 32.318607)),
S1A_IW_SLC__1SDV_20170328T100255_20170328T100323_015891_01A318_4933.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('15cdeb3c-ad41-4957-b292-8e471fd659bb')/$value,69,POLYGON ((118.085670 32.318371,120.763885 32.724590,121.095520 31.045048,118.467476 30.636452,118.085670 32.318371)),
S1A_IW_SLC__1SDV_20170316T100255_20170316T100323_015716_019DDC_7FD4.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('e4d571ce-2220-4419-ae52-51c04e1e3ea3')/$value,69,POLYGON ((118.084862 32.318848,120.763100 32.725117,121.094826 31.045332,118.466766 30.636690,118.084862 32.318848)),
S1A_IW_SLC__1SDV_20170304T100257_20170304T100325_015541_01989F_1DCA.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('1f6481d0-0cb7-42a2-a368-b73065a8427c')/$value,69,POLYGON ((118.047081 32.485245,120.730629 32.891346,121.062637 31.211506,118.429703 30.803057,118.047081 32.485245)),
S1A_IW_SLC__1SDV_20170220T100257_20170220T100324_015366_019355_DFC2.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('d47133ed-e651-40f4-b3b3-b133f70cfc3d')/$value,69,POLYGON ((118.059937 32.427536,120.741684 32.833702,121.062164 31.211979,118.429199 30.803541,118.059937 32.427536)),
S1A_IW_SLC__1SDV_20170208T100257_20170208T100324_015191_018DE3_9EF3.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('1d0a25d4-3859-4d80-a842-f5849279da7a')/$value,69,POLYGON ((118.060356 32.427517,120.742104 32.833626,121.062515 31.212023,118.429558 30.803640,118.060356 32.427517)),
S1A_IW_SLC__1SDV_20170127T100258_20170127T100326_015016_018875_D370.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('ecb6faa8-4757-4725-b74a-e7fee915951d')/$value,69,POLYGON ((118.046883 32.484787,120.730553 32.890842,121.062469 31.211252,118.429413 30.802845,118.046883 32.484787)),
